MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,82.01737430896148,13398.07934738593,Grvl,,IR1,Lvl,AllPub,Inside,Mod,NWAmes,RRNe,Feedr,Twnhs,1Story,5,6,2001.8010242979801,1961.5680552245808,Gable,Roll,Plywood,Plywood,None,5.066282815806808,TA,TA,CBlock,Gd,TA,Av,ALQ,1018.2695571730345,Rec,116.48565169511302,300.87130434355186,1492.5950691572239,GasA,Gd,Y,SBrkr,1411.2655802284726,0.0,8.91915388687224,1485.1813463464198,0,0,2,0,3,1,TA,7,Min1,1,TA,Attchd,1963.0845588651036,Unf,2,426.16105601026777,TA,Fa,Y,225.75510999830485,0.0,0.0,0.0,187.01304899351422,15.9034977137493,,,,339.6608713508357,2,2007,WD,Alloca,175433.68725900547
30,RM,,10781.536594467112,Pave,,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922.0010637704195,1962.6596038822886,Gable,CompShg,ImStucc,Wd Sdng,None,103.3690748364287,Fa,Fa,BrkTil,,Po,Gd,BLQ,462.3404231571459,Unf,220.12088632611892,313.49416148388013,892.9894724879441,GasW,Gd,N,FuseA,981.9868857027917,53.28507231850302,0.0,1081.342721083782,1,0,0,1,1,1,Gd,4,Maj1,0,,,,,0,0.0,,,Y,0.0,0.5013612195301292,0.0,30.14321831069763,0.0,0.0,,,,34.94539774366535,3,2009,WD,Partial,80346.8966248372
120,RH,52.6237266766379,6518.3851197285185,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,1960.0200900321652,2024.4692903914765,Hip,CompShg,Wd Sdng,VinylSd,BrkFace,90.05066815384399,Gd,TA,PConc,Gd,TA,No,Unf,67.8013766890583,Unf,0.0,1382.054628707109,1146.9692408629207,GasA,Ex,Y,,1656.57670990325,0.0,13.48053913360884,2162.904577571361,0,0,2,0,2,1,Gd,7,Typ,1,TA,Attchd,2021.2013589674425,Fin,3,706.6066757751175,Gd,TA,Y,111.69616586546191,40.3342326734018,25.37528750297208,25.561522887015943,0.0,0.0,,GdWo,,0.4586050430587779,6,2009,WD,Normal,167198.01053125254
20,RL,86.87265130479801,53817.690004371536,Pave,,IR1,Low,AllPub,FR3,Sev,Veenker,Norm,Norm,1Fam,1Story,9,5,1982.58410639326,2005.6788401197878,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,Ex,CBlock,Ex,Gd,Gd,GLQ,1651.214644271189,Unf,0.0,252.65515505289932,1907.1800887665024,GasA,TA,Y,SBrkr,2071.169130090626,0.0,6.261528814108162,1850.9843238719816,2,0,0,1,0,1,Gd,5,Typ,1,Fa,Attchd,1985.5146809496687,Fin,3,1090.7199724193215,TA,TA,Y,890.9495831140322,60.53679298097106,19.982172598634556,11.963872619574474,0.0,0.0,,,,226.83384814652476,11,2006,WD,Normal,335207.67031979514
20,RH,,10807.760050831468,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,1Story,7,5,1993.444768284561,2004.2823853545528,Flat,CompShg,VinylSd,VinylSd,Stone,224.48033469061323,Gd,TA,PConc,Gd,TA,No,GLQ,1058.889916939759,Unf,0.0,788.2714873487301,1693.697747773127,Floor,Ex,Y,SBrkr,1702.7284053910018,0.0,0.0,1810.4592521733716,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2007.033086061096,Unf,3,1038.4882019316879,TA,,Y,36.990774956943056,173.89148544538,1.3155038205050795,1.8668893834496803,0.0,0.0,,MnWw,,220.09247406886533,2,2006,WD,Normal,193534.7960735457
190,RM,49.04651160237765,12727.587334019823,Pave,,Reg,Lvl,AllPub,Inside,Sev,OldTown,Norm,Norm,1Fam,2.5Unf,5,5,1907.0795942349362,1974.3733721046372,Gable,WdShngl,Wd Sdng,Brk Cmn,None,17.195201497485947,Gd,TA,PConc,TA,TA,No,LwQ,394.3109834620416,Unf,0.0,431.4784623159751,543.661094643022,GasA,Gd,Y,FuseA,832.7886592088814,168.8162705487523,0.0,1266.0025380718264,0,0,1,0,2,1,TA,6,Typ,0,,Detchd,1941.227851353383,Unf,1,241.12176783644233,Fa,Fa,Y,0.0,0.0,176.60769260341627,0.0,12.197536103444335,0.0,,,,324.60301352638817,3,2007,WD,Normal,140601.69399051234
20,RL,96.74789328331241,6437.746731497718,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,5,1951.7743914115915,1958.5703602798546,Hip,CompShg,VinylSd,VinylSd,None,68.63594059625285,TA,TA,CBlock,TA,TA,No,Rec,317.6940401806796,LwQ,314.2094919968396,459.8257403717177,1186.3444095152242,GasA,TA,Y,FuseA,1013.1406889517214,0.0,32.85990846439682,1280.7245991128289,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1969.6990098367737,RFn,1,215.956144975715,Fa,Ex,Y,0.0,0.0,0.0,0.0,16.504284085865567,13.924802009067129,,GdWo,,0.0,5,2007,WD,Normal,93844.46987438477
75,RL,92.91100540869846,11522.327715719024,Pave,,Reg,Lvl,NoSeWa,CulDSac,Sev,IDOTRR,Norm,RRAe,1Fam,1Story,5,3,1964.9108940015585,1975.8310077640335,Hip,CompShg,HdBoard,HdBoard,BrkCmn,255.51838552565573,Gd,TA,CBlock,TA,TA,No,BLQ,527.4441924320384,Unf,69.6528579703301,567.403583650095,1305.6839524053576,GasA,TA,Y,SBrkr,1321.3603811679359,0.0,0.0,1533.2571205423726,0,0,1,0,2,1,TA,6,Typ,0,,Attchd,1968.3208728662973,Unf,2,358.06330636759697,TA,TA,Y,72.91789877199562,26.7295972413339,0.0,8.579512937297245,0.0,0.0,Ex,GdWo,,0.0,12,2006,WD,Abnorml,133281.82497522776
40,RL,,33103.15595844479,Pave,,IR1,Lvl,AllPub,Inside,Sev,ClearCr,Norm,RRNn,1Fam,1Story,7,6,1973.9732162679354,1973.7948610466071,Shed,WdShake,Plywood,Plywood,None,9.67585510928935,Fa,TA,PConc,Gd,Gd,Av,GLQ,1031.0932734620349,Rec,0.0,74.0,1380.50100675511,GasA,TA,Y,SBrkr,1589.0349592258322,192.0,0.0,1688.237827755572,2,0,0,1,0,1,Gd,4,Mod,1,TA,Attchd,1989.3791774242109,Fin,2,501.1829083847523,Po,TA,Y,281.6062663126529,0.0,0.0,22.313834360628352,0.0,4.994312567364012,Fa,,,364.73417666732854,4,2010,WD,Normal,286080.23896507017
120,RL,49.007211628894545,7096.854727595954,Pave,,Reg,HLS,AllPub,Inside,Gtl,SWISU,Norm,Norm,TwnhsE,1Story,6,5,1996.74728479418,1977.4236301347214,Gable,CompShg,Plywood,Brk Cmn,None,19.14260530164707,TA,TA,Stone,Gd,TA,No,BLQ,387.42795620184336,BLQ,111.61258628541513,299.08608432310433,1236.2347758519177,GasA,TA,Y,SBrkr,1141.7289158282492,376.66538195518456,0.0,989.3954678775099,0,0,2,0,2,1,TA,5,Typ,1,TA,Attchd,1972.5211465334019,Unf,1,350.9382699094684,TA,TA,Y,125.7039355171191,0.0,51.51120713788479,23.197514633559543,0.0,7.355305451438369,,,,0.0,5,2010,WD,Normal,197738.5081850793
20,RL,73.86394559977538,8172.682323006087,Grvl,,Reg,Bnk,AllPub,Inside,Mod,CollgCr,Artery,Norm,1Fam,1Story,5,5,1985.7616122617728,1991.6198096283224,Gable,CompShg,HdBoard,HdBoard,BrkFace,21.31942811137465,TA,TA,Wood,Gd,TA,No,Rec,710.3065083938296,Unf,7.300546706575918,415.4062020930313,1033.6919260857328,GasA,TA,Y,SBrkr,1054.7512465802904,106.9979836194573,20.1151428070629,767.1061026071114,0,0,2,0,3,1,TA,5,Typ,0,,,,,0,0.0,,,Y,112.39326069169047,23.955563755476362,0.0,0.0,0.0,0.0,,,,199.07145587521944,8,2009,ConLw,Alloca,121413.86690133107
190,RM,44.65544180941689,3477.203579996555,Pave,,IR3,Lvl,AllPub,FR2,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,6,1861.3150204710253,1955.73721984903,Gable,CompShg,VinylSd,AsbShng,None,0.0,TA,TA,Slab,TA,TA,No,Unf,541.6685216949352,Unf,141.87115345858365,804.3742796424324,736.6750085770766,GasA,TA,Y,SBrkr,1304.3246433731933,979.9320484227685,5.91140967879198,2213.2969136361444,0,0,2,0,4,2,TA,11,Typ,0,,Detchd,1943.483280596385,Unf,2,383.6612391533854,Po,TA,N,0.0,0.0,106.30373957698396,0.4998099515832507,0.0,0.0,,,,9.671688259986452,4,2010,ConLI,Normal,129492.7615860642
120,RL,9.364404125592099,5389.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2013.738210168715,2010.9724715234047,Gable,CompShg,CemntBd,Wd Sdng,BrkFace,109.77297858231374,Gd,TA,PConc,Gd,TA,No,Rec,1197.946225899574,Unf,57.761858431897544,404.0715678246166,1680.8343504340737,GasA,Ex,Y,SBrkr,1552.1561018297384,302.49266562036746,43.91364945260369,2465.0515415572827,1,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,1994.2595130039015,Fin,2,702.2851492062665,TA,TA,Y,197.36292564733205,95.89924717274985,0.0,8.089149544184622,15.193411215305403,27.784235796870583,Gd,,,0.0,3,2010,Con,Normal,263396.72008763975
20,RL,89.11849198075271,12456.0,Pave,,IR3,Lvl,AllPub,CulDSac,Gtl,ClearCr,Norm,Norm,1Fam,1Story,10,5,2014.9829062851043,2007.6005486488648,Hip,CompShg,CemntBd,CmentBd,Stone,254.28782572807555,Ex,TA,PConc,Ex,TA,Gd,GLQ,1393.4965656930035,Unf,0.0,266.723998862432,1823.3580117062274,GasA,Ex,N,SBrkr,1911.6174309673388,116.06456322676408,38.12393794000153,2084.638733689568,1,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2035.8393670371793,Unf,3,921.299546157235,TA,TA,Y,324.93916490285994,25.53405607677362,0.0,0.0,0.0,25.28054676523624,,,Gar2,63.8721321703307,7,2009,COD,Normal,369837.0351183227
45,RH,60.9172438348612,9942.47329711819,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1927.147334358458,1947.380229547759,Gable,CompShg,Wd Sdng,Wd Sdng,None,58.41338909644531,TA,TA,BrkTil,Fa,,No,Unf,28.802857057887465,Unf,102.58491826018809,1007.1603024548701,595.4571676536868,GasA,TA,N,FuseA,712.4058809509957,0.0,0.0,1235.7785501402968,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1956.4918802264035,Unf,2,312.6584994313708,Fa,Fa,N,53.2319376743411,0.0,29.67907511415907,0.0,6.713580707548627,0.0,,,,0.0,10,2009,WD,Normal,41754.34543180373
60,RL,77.97201602337582,11141.18875364149,Grvl,,Reg,Low,AllPub,Inside,Mod,NAmes,Norm,Feedr,1Fam,2Story,6,8,1954.487360603227,2004.5383608634468,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,409.0619570155186,Gd,TA,CBlock,TA,Gd,Gd,BLQ,756.4774529321791,Rec,84.6574004343968,124.46271421930824,766.8463622735441,GasA,Gd,Y,SBrkr,910.2563890285442,947.986161514003,0.0,2052.1361026399923,0,0,2,1,3,1,Ex,7,Maj2,1,Fa,Attchd,1962.9216082834143,RFn,2,421.08529655645447,Ex,TA,Y,228.68185751147206,113.63226309761414,0.0,13.737433334890646,0.0,0.0,,MnWw,,412.1407925153073,7,2007,WD,Normal,174339.01798691784
70,RM,69.88771374761606,9403.980296506586,Pave,,IR1,Lvl,AllPub,FR3,Gtl,BrkSide,RRNn,Norm,TwnhsE,2Story,6,8,1935.0266769492953,1984.88766957134,Gable,CompShg,Wd Sdng,Wd Sdng,None,73.59135600359939,TA,TA,BrkTil,Fa,Fa,Av,Unf,0.0,Unf,0.0,553.3747842370884,1039.7317633245925,GasA,Ex,Y,SBrkr,532.7797505859842,653.8420021147708,29.413487263180485,1108.698266256512,0,0,2,0,3,1,TA,6,Maj1,0,,Detchd,1918.8313125509937,Fin,2,338.48357081753943,TA,Fa,Y,33.50326106873229,0.0,76.52364146008054,0.0,0.0,4.030725701702862,,MnWw,,0.0,6,2008,WD,Normal,108399.78062818991
20,RL,69.22123127708682,10778.002982108903,Pave,,IR3,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,1998.2205054190158,1997.0375795639009,Gable,Membran,VinylSd,VinylSd,BrkFace,54.4919278808573,Fa,TA,PConc,TA,TA,Mn,Unf,60.81752723139446,Unf,42.15289661188312,1307.485170557984,1510.8679503613157,GasA,Ex,Y,SBrkr,1370.3532230609387,0.0,2.0458199923958196,1287.2496414390935,0,0,2,0,3,1,TA,6,Maj2,0,,Attchd,2010.8216436126909,Fin,2,560.1026279739848,TA,TA,Y,83.15742988345453,48.77850352254276,23.502297294920478,0.0,31.247068876894886,6.342043800079432,,GdPrv,Shed,0.0,12,2007,WD,AdjLand,256822.66265223263
60,RL,108.05666006058631,9606.805494086659,Pave,,IR3,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Feedr,1Fam,2Story,9,5,2027.7508891204511,2033.0028413747252,Flat,CompShg,VinylSd,VinylSd,Stone,821.9440727329652,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,90.61503971441401,1713.4870966461187,1997.912765239962,Wall,Ex,Y,SBrkr,1998.2419709781832,1350.3575000703913,0.0,2657.269474717087,0,0,3,1,4,1,Ex,11,Typ,2,Ex,BuiltIn,2014.0362472889965,Fin,3,710.595973469029,Fa,TA,Y,144.0,49.9821261995874,0.0,7.962811073004505,49.190512616120756,0.0,,MnPrv,,462.10890893567046,7,2009,New,Partial,460548.4520569929
160,RM,16.9277807100161,1920.0,Pave,,Reg,Lvl,AllPub,FR2,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1976.0710299359246,1975.340736670755,Gable,CompShg,HdBoard,HdBoard,BrkFace,475.8437244913937,TA,TA,PConc,Fa,TA,No,ALQ,499.6150850924496,Unf,24.14312014206025,410.85567452957025,994.3968264473795,GasA,Ex,Y,Mix,984.5074240132212,471.6741384055722,1.3077056789859594,1242.754672790754,1,0,1,1,2,1,TA,6,Min1,0,,Detchd,1962.8874523631396,Fin,2,350.3826926920559,,TA,Y,329.09204483374907,56.83483337007314,0.0,19.69196166993653,16.916953500265645,0.0,,,,0.0,8,2007,WD,Normal,146193.19042586652
75,RM,90.50743936988975,12921.684216111811,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Feedr,Norm,Twnhs,2.5Unf,5,5,1896.720556824168,1972.9078163035858,Hip,CompShg,AsbShng,AsbShng,None,68.14749646100152,TA,TA,PConc,TA,TA,No,LwQ,0.0,Unf,4.761345003512783,695.8861072087832,475.5494048008622,GasA,TA,N,FuseA,1037.3429069990132,910.6979431944426,2.670580441525412,1912.273325832189,0,0,2,0,2,3,TA,11,Typ,0,,CarPort,1925.9831255934623,Unf,2,395.81535935658894,Fa,Po,N,55.332479055382876,179.67825026633685,25.07997526169108,18.181643506608076,0.0,0.0,,MnPrv,Shed,0.0,11,2009,WD,Abnorml,30793.52602783947
160,RM,15.956364485543133,5448.099209646505,Grvl,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,Twnhs,2Story,6,7,1977.2502111152376,1959.0170296954875,Gable,CompShg,HdBoard,HdBoard,Stone,225.4461885313633,TA,TA,CBlock,TA,TA,No,BLQ,317.0,Unf,75.13570632689562,355.0,966.8340168500415,Grav,Gd,Y,FuseP,395.6312479967166,82.74238650234844,0.0,1190.1004193473634,0,1,1,1,3,1,TA,7,Typ,0,,Detchd,1989.442611746766,Unf,1,273.8419619576187,TA,Ex,Y,9.431169714271743,58.12186219183934,37.7145189917419,24.325721247508525,0.0,0.0,Fa,,,0.0,5,2006,WD,Normal,98227.87602943063
20,FV,65.78468334790945,9652.81709137091,Pave,,IR1,Lvl,AllPub,FR3,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1975.3751030867388,1985.917609312309,Hip,Tar&Grv,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,597.8370003284056,Unf,75.84295902958569,531.516200314497,953.3607399622713,GasA,TA,Y,SBrkr,734.158625460828,0.0,0.0,1311.9516269127712,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1972.6512334903225,,1,401.8589038247363,,TA,Y,113.7853020523939,0.0,20.04750335029967,9.27635182803305,0.0,13.136913640922383,Fa,,,36.21451306309297,5,2008,ConLD,Normal,149343.44393816957
190,RL,33.756967595758525,8212.818183018437,Grvl,,IR3,Lvl,AllPub,FR2,Mod,BrkSide,Norm,RRAn,TwnhsE,1.5Fin,4,4,1933.7319112155037,1954.8412349280813,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,PConc,Gd,TA,No,BLQ,381.05195801339494,Rec,0.0,551.3845331024017,873.4136112613344,Grav,Fa,N,FuseA,351.08089420134206,270.14342902482446,6.241453592972349,600.9350690605543,1,0,1,0,2,1,Fa,5,Typ,0,Gd,Detchd,1944.475667897862,Unf,1,188.09671676383186,TA,Po,Y,0.0,0.0,43.49028778970327,7.098330867618876,0.0,0.0,,MnPrv,Shed,0.0,7,2010,WD,Normal,88304.00500570903
60,RL,71.1015987676782,14600.753768064427,Pave,,Reg,Lvl,AllPub,Inside,Sev,BrkSide,Norm,Norm,1Fam,1Story,5,6,1956.751508524432,1991.476020581366,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,669.9214780586307,Ex,TA,CBlock,TA,TA,No,Rec,924.9248280198096,Unf,0.0,353.8937513543065,1655.2722523727825,Wall,Gd,Y,SBrkr,1381.091101716416,0.0,0.0,1030.0581669763278,0,1,1,0,3,1,Ex,5,Typ,1,TA,Attchd,1972.6251467413954,Fin,2,469.43521827221105,Gd,TA,Y,1.746389005074993,0.0,0.0,11.818592819005943,0.0,34.91871217564026,,,,0.0,10,2009,WD,Normal,202448.08357251965
